Date,TSLA
6/15/2017,375.34
6/16/2017,371.4
6/19/2017,369.8
6/20/2017,372.24
6/21/2017,376.4
6/22/2017,382.61
6/23/2017,383.45
6/26/2017,377.49
6/27/2017,362.37
6/28/2017,371.24
6/29/2017,360.75
6/30/2017,361.61
7/3/2017,352.62
7/5/2017,327.09
7/6/2017,308.83
7/7/2017,313.22
7/10/2017,316.05
7/11/2017,327.22
7/12/2017,329.52
7/13/2017,323.41
7/14/2017,327.78
7/17/2017,319.57
7/18/2017,328.24
7/19/2017,325.26
7/20/2017,329.92
7/21/2017,328.4
7/24/2017,342.52
7/25/2017,339.6
7/26/2017,343.85
7/27/2017,334.46
7/28/2017,335.07
7/31/2017,323.47
8/1/2017,319.57
8/2/2017,325.89
8/3/2017,347.09
8/4/2017,356.91
8/7/2017,355.17
8/8/2017,365.22
8/9/2017,363.53
8/10/2017,355.4
8/11/2017,357.87
8/14/2017,363.8
8/15/2017,362.33
8/16/2017,362.91
8/17/2017,351.92
8/18/2017,347.46
8/21/2017,337.86
8/22/2017,341.35
8/23/2017,352.77
8/24/2017,352.93
8/25/2017,348.05
8/28/2017,345.66
8/29/2017,347.36
8/30/2017,353.18
8/31/2017,355.9
9/1/2017,355.4
9/5/2017,349.59
9/6/2017,344.53
9/7/2017,350.61
9/8/2017,343.4
9/11/2017,363.69
9/12/2017,362.75
9/13/2017,366.23
9/14/2017,377.64
9/15/2017,379.81
9/18/2017,385
9/19/2017,375.1
9/20/2017,373.91
9/21/2017,366.48
9/22/2017,351.09
9/25/2017,344.99
9/26/2017,345.25
9/27/2017,340.97
9/28/2017,339.6
9/29/2017,341.1
10/2/2017,341.53
10/3/2017,348.14
10/4/2017,355.01
10/5/2017,355.33
10/6/2017,356.88
10/9/2017,342.94
10/10/2017,355.59
10/11/2017,354.6
10/12/2017,355.68
10/13/2017,355.57
10/16/2017,350.6
10/17/2017,355.75
10/18/2017,359.65
10/19/2017,351.81
10/20/2017,345.1
10/23/2017,337.02
10/24/2017,337.34
10/25/2017,325.84
10/26/2017,326.17
10/27/2017,320.87
10/30/2017,320.08
10/31/2017,331.53
11/1/2017,321.08
11/2/2017,299.26
11/3/2017,306.09
11/6/2017,302.78
11/7/2017,306.05
11/8/2017,304.39
11/9/2017,302.99
11/10/2017,302.99
11/13/2017,315.4
11/14/2017,308.7
11/15/2017,311.3
11/16/2017,312.5
11/17/2017,315.05
11/20/2017,308.74
11/21/2017,317.81
11/22/2017,312.6
11/24/2017,315.55
11/27/2017,316.81
11/28/2017,317.55
11/29/2017,307.54
11/30/2017,308.85
12/1/2017,306.53
12/4/2017,305.2
12/5/2017,303.7
12/6/2017,313.26
12/7/2017,311.24
12/8/2017,315.13
12/11/2017,328.91
12/12/2017,341.03
12/13/2017,339.03
12/14/2017,337.89
12/15/2017,343.45
12/18/2017,338.87
12/19/2017,331.1
12/20/2017,328.98
12/21/2017,331.66
12/22/2017,325.2
12/26/2017,317.29
12/27/2017,311.64
12/28/2017,315.36
12/29/2017,311.35
1/2/2018,320.53
1/3/2018,317.25
1/4/2018,314.62
1/5/2018,316.58
1/8/2018,336.41
1/9/2018,333.69
1/10/2018,334.8
1/11/2018,337.95
1/12/2018,336.22
1/16/2018,340.06
1/17/2018,347.16
1/18/2018,344.57
1/19/2018,350.02
1/22/2018,351.56
1/23/2018,352.79
1/24/2018,345.89
1/25/2018,337.64
1/26/2018,342.85
1/29/2018,349.53
1/30/2018,345.82
1/31/2018,354.31
2/1/2018,349.25
2/2/2018,343.75
2/5/2018,333.13
2/6/2018,333.97
2/7/2018,345
2/8/2018,315.23
2/9/2018,310.42
2/12/2018,315.73
2/13/2018,323.66
2/14/2018,322.31
2/15/2018,334.07
2/16/2018,335.49
2/20/2018,334.77
2/21/2018,333.3
2/22/2018,346.17
2/23/2018,352.05
2/26/2018,357.42
2/27/2018,350.99
2/28/2018,343.06
3/1/2018,330.93
3/2/2018,335.12
3/5/2018,333.35
3/6/2018,328.2
3/7/2018,332.3
3/8/2018,329.1
3/9/2018,327.17
3/12/2018,345.51
3/13/2018,341.84
3/14/2018,326.63
3/15/2018,325.6
3/16/2018,321.35
3/19/2018,313.56
3/20/2018,310.55
3/21/2018,316.53
3/22/2018,309.1
3/23/2018,301.54
3/26/2018,304.18
3/27/2018,279.18
3/28/2018,257.78
3/29/2018,266.13
4/2/2018,252.48
4/3/2018,267.53
4/4/2018,286.94
4/5/2018,305.72
4/6/2018,299.3
4/9/2018,289.66
4/10/2018,304.7
4/11/2018,300.93
4/12/2018,294.08
4/13/2018,300.34
4/16/2018,291.21
4/17/2018,291.21
4/18/2018,293.35
4/19/2018,300.08
4/20/2018,290.24
4/23/2018,283.37
4/24/2018,283.46
4/25/2018,280.69
4/26/2018,285.48
4/27/2018,294.08
4/30/2018,293.9
5/1/2018,299.92
5/2/2018,301.15
5/3/2018,284.45
5/4/2018,294.09
5/7/2018,302.77
5/8/2018,301.97
5/9/2018,306.85
5/10/2018,305.02
5/11/2018,301.06
5/14/2018,291.97
5/15/2018,284.18
5/16/2018,286.48
5/17/2018,284.54
5/18/2018,284.54
5/21/2018,284.49
5/22/2018,275.01
5/23/2018,279.07
5/24/2018,277.85
5/25/2018,278.85
5/29/2018,283.76
5/30/2018,291.72
5/31/2018,284.73
6/1/2018,291.82
6/4/2018,296.74
6/5/2018,291.13
6/6/2018,319.5
6/7/2018,316.09
6/8/2018,317.66
6/11/2018,332.1
6/12/2018,342.77
6/13/2018,344.78
6/14/2018,357.72
6/15/2018,358.17
6/18/2018,370.83
6/19/2018,352.55
6/20/2018,362.22
6/21/2018,347.51
6/22/2018,333.63
6/25/2018,333.01
6/26/2018,342
6/27/2018,344.5
6/28/2018,349.93
6/29/2018,342.95
7/2/2018,335.07
7/3/2018,310.86
7/5/2018,309.16
7/6/2018,308.9
7/9/2018,318.51
7/10/2018,322.47
7/11/2018,318.96
7/12/2018,316.71
7/13/2018,318.87
7/16/2018,310.1
7/17/2018,322.69
7/18/2018,323.85
7/19/2018,320.23
7/20/2018,313.58
7/23/2018,303.2
7/24/2018,297.43
7/25/2018,308.74
7/26/2018,306.65
7/27/2018,297.18
7/30/2018,290.17
7/31/2018,298.14
8/1/2018,300.84
8/2/2018,349.54
8/3/2018,348.17
8/6/2018,341.99
8/7/2018,379.57
8/8/2018,370.34
8/9/2018,352.45
8/10/2018,355.49
8/13/2018,356.41
8/14/2018,347.64
8/15/2018,338.69
8/16/2018,335.45
8/17/2018,305.5
8/20/2018,308.44
8/21/2018,321.9
8/22/2018,321.64
8/23/2018,320.1
8/24/2018,322.82
8/27/2018,319.27
8/28/2018,311.86
8/29/2018,305.01
8/30/2018,303.15
8/31/2018,301.66
9/4/2018,288.95
9/5/2018,280.74
9/6/2018,280.95
9/7/2018,263.24
9/10/2018,285.5
9/11/2018,279.44
9/12/2018,290.54
9/13/2018,289.46
9/14/2018,295.2
9/17/2018,294.84
9/18/2018,284.96
9/19/2018,299.02
9/20/2018,298.33
9/21/2018,299.1
9/24/2018,299.68
9/25/2018,300.99
9/26/2018,309.58
9/27/2018,307.52
9/28/2018,264.77
10/1/2018,310.7
10/2/2018,301.02
10/3/2018,294.8
10/4/2018,281.83
10/5/2018,261.95
10/8/2018,250.56
10/9/2018,262.8
10/10/2018,256.88
10/11/2018,252.23
10/12/2018,258.78
10/15/2018,259.59
10/16/2018,276.59
10/17/2018,271.78
10/18/2018,263.91
10/19/2018,260
10/22/2018,260.95
10/23/2018,294.14
10/24/2018,288.5
10/25/2018,314.86
10/26/2018,330.9
10/29/2018,334.85
10/30/2018,329.9
10/31/2018,337.32
11/1/2018,344.28
11/2/2018,346.41
11/5/2018,341.4
11/6/2018,341.06
11/7/2018,348.16
11/8/2018,351.4
11/9/2018,350.51
11/12/2018,331.28
11/13/2018,338.73
11/14/2018,344
11/15/2018,348.44
11/16/2018,354.31
11/19/2018,353.47
11/20/2018,347.49
11/21/2018,338.19
11/23/2018,325.83
11/26/2018,346
11/27/2018,343.92
11/28/2018,347.87
11/29/2018,341.17
11/30/2018,350.48
12/3/2018,358.49
12/4/2018,359.7
12/6/2018,363.06
12/7/2018,357.97
12/10/2018,365.15
12/11/2018,366.76
12/12/2018,366.6
12/13/2018,376.79
12/14/2018,365.71
12/17/2018,348.42
12/18/2018,337.03
12/19/2018,332.97
12/20/2018,315.38
12/21/2018,319.77
12/24/2018,295.39
12/26/2018,326.09
12/27/2018,316.13
12/28/2018,333.87
12/31/2018,332.8
1/2/2019,310.12
1/3/2019,300.36
1/4/2019,317.69
1/7/2019,334.96
1/8/2019,335.35
1/9/2019,338.53
1/10/2019,344.97
1/11/2019,347.26
1/14/2019,334.4
1/15/2019,344.43
1/16/2019,346.05
1/17/2019,347.31
1/18/2019,302.26
1/22/2019,298.92
1/23/2019,287.59
1/24/2019,291.51
1/25/2019,297.04
1/28/2019,296.38
1/29/2019,297.46
1/30/2019,308.77
1/31/2019,307.02
2/1/2019,312.21
2/4/2019,312.89
2/5/2019,321.35
2/6/2019,317.22
2/7/2019,307.51
2/8/2019,305.8
2/11/2019,312.84
2/12/2019,311.81
2/13/2019,308.17
2/14/2019,303.77
2/15/2019,307.88
2/19/2019,305.64
2/20/2019,302.56
2/21/2019,291.23
2/22/2019,294.71
2/25/2019,298.77
2/26/2019,297.86
2/27/2019,314.74
2/28/2019,319.88
3/1/2019,294.79
3/4/2019,285.36
3/5/2019,276.54
3/6/2019,276.24
3/7/2019,276.59
3/8/2019,284.14
3/11/2019,290.92
3/12/2019,283.36
3/13/2019,288.96
3/14/2019,289.96
3/15/2019,275.43
3/18/2019,269.49
3/19/2019,267.47
3/20/2019,273.6
3/21/2019,274.02
3/22/2019,264.53
3/25/2019,260.42
3/26/2019,267.77
3/27/2019,274.83
3/28/2019,278.62
3/29/2019,279.86
4/1/2019,289.18
4/2/2019,285.88
4/3/2019,291.81
4/4/2019,267.78
4/5/2019,274.96
4/8/2019,273.2
4/9/2019,272.31
4/10/2019,276.06
4/11/2019,268.42
4/12/2019,267.7
4/15/2019,266.38
4/16/2019,273.36
4/17/2019,271.23
4/18/2019,273.26
4/22/2019,262.75
4/23/2019,263.9
4/24/2019,258.66
4/25/2019,247.63
4/26/2019,235.14
4/29/2019,241.47
4/30/2019,238.69
5/1/2019,234.01
5/2/2019,244.1
5/3/2019,255.03
5/6/2019,255.34
5/7/2019,247.06
5/8/2019,244.84
5/9/2019,241.98
5/10/2019,239.52
5/13/2019,227.01
5/14/2019,232.31
5/15/2019,231.95
5/16/2019,228.33
5/17/2019,211.03
5/20/2019,205.36
5/21/2019,205.08
5/22/2019,192.73
5/23/2019,195.49
5/24/2019,190.63
5/28/2019,188.7
5/29/2019,189.86
5/30/2019,188.22
5/31/2019,185.16
6/3/2019,178.97
6/4/2019,193.6
6/5/2019,196.59
6/6/2019,205.95
6/7/2019,204.5
6/10/2019,212.88
6/11/2019,217.1
6/12/2019,209.26
6/13/2019,213.91
6/14/2019,214.92
6/17/2019,225.03
6/18/2019,224.74
6/19/2019,226.43
6/20/2019,219.62
6/21/2019,221.86
6/24/2019,223.64
6/25/2019,219.76
6/26/2019,219.27
6/27/2019,222.84
6/28/2019,223.46
7/1/2019,227.17
7/2/2019,224.55
7/3/2019,234.9
7/5/2019,233.1
7/8/2019,230.34
7/9/2019,230.06
7/10/2019,238.92
7/11/2019,238.6
7/12/2019,245.08
7/15/2019,253.5
7/16/2019,252.38
7/17/2019,254.86
7/18/2019,253.54
7/19/2019,258.18
7/22/2019,255.68
7/23/2019,260.17
7/24/2019,264.88
7/25/2019,228.82
7/26/2019,228.04
7/29/2019,235.77
7/30/2019,242.26
7/31/2019,241.61
8/1/2019,233.85
8/2/2019,234.34
8/5/2019,228.32
8/6/2019,230.75
8/7/2019,233.42
8/8/2019,238.3
8/9/2019,235.01
8/12/2019,229.01
8/13/2019,235
8/14/2019,219.62
8/15/2019,215.64
8/16/2019,219.94
8/19/2019,226.83
8/20/2019,225.86
8/21/2019,220.83
8/22/2019,222.15
8/23/2019,211.4
8/26/2019,215
8/27/2019,214.08
8/28/2019,215.59
8/29/2019,221.71
8/30/2019,225.61
9/3/2019,225.01
9/4/2019,220.68
9/5/2019,229.58
9/6/2019,227.45
9/9/2019,231.79
9/10/2019,235.54
9/11/2019,247.1
9/12/2019,245.87
9/13/2019,245.2
9/16/2019,242.81
9/17/2019,244.79
9/18/2019,243.49
9/19/2019,246.6
9/20/2019,240.62
9/23/2019,241.23
9/24/2019,223.21
9/25/2019,228.7
9/26/2019,242.56
9/27/2019,242.13
9/30/2019,240.87
10/1/2019,244.69
10/2/2019,243.13
10/3/2019,233.03
10/4/2019,231.43
10/7/2019,237.72
10/8/2019,240.05
10/9/2019,244.53
10/10/2019,244.74
10/11/2019,247.89
10/14/2019,256.96
10/15/2019,257.89
10/16/2019,259.75
10/17/2019,261.97
10/18/2019,256.95
10/21/2019,253.5
10/22/2019,255.58
10/23/2019,254.68
10/24/2019,299.68
10/25/2019,328.13
10/28/2019,327.71
10/29/2019,316.22
10/30/2019,315.01
10/31/2019,314.92
11/1/2019,313.31
11/4/2019,317.47
11/5/2019,317.22
11/6/2019,326.58
11/7/2019,335.54
11/8/2019,337.14
11/11/2019,345.09
11/12/2019,349.93
11/13/2019,346.11
11/14/2019,349.35
11/15/2019,352.17
11/18/2019,349.99
11/19/2019,359.52
11/20/2019,352.22
11/21/2019,354.83
11/22/2019,333.04
11/25/2019,336.34
11/26/2019,328.92
11/27/2019,331.29
11/29/2019,329.94
12/2/2019,334.87
12/3/2019,336.2
12/4/2019,333.03
12/5/2019,330.37
12/6/2019,335.89
12/9/2019,339.53
12/10/2019,348.84
12/11/2019,352.7
12/12/2019,359.68
12/13/2019,358.39
12/16/2019,381.5
12/17/2019,378.99
12/18/2019,393.15
12/19/2019,404.04
12/20/2019,405.59
12/23/2019,419.22
12/24/2019,425.25
12/26/2019,430.94
12/27/2019,430.38
12/30/2019,414.7
12/31/2019,418.33
1/2/2020,430.26
1/3/2020,443.01
1/6/2020,451.54
1/7/2020,469.06
1/8/2020,492.14
1/9/2020,481.34
1/10/2020,478.15
1/13/2020,524.86
1/14/2020,537.92
1/15/2020,518.5
1/16/2020,513.49
1/17/2020,510.5
1/21/2020,547.2
1/22/2020,569.56
1/23/2020,572.2
1/24/2020,564.82
1/27/2020,558.02
1/28/2020,566.9
1/29/2020,580.99
1/30/2020,640.81
1/31/2020,650.57
2/3/2020,780
2/4/2020,887.06
2/5/2020,734.7
2/6/2020,748.96
2/7/2020,748.07
2/10/2020,771.28
2/11/2020,774.38
2/12/2020,767.29
2/13/2020,804
2/14/2020,800.03
2/18/2020,858.4
2/19/2020,917.42
2/20/2020,899.41
2/21/2020,901
2/24/2020,833.79
2/25/2020,799.91
2/26/2020,778.8
2/27/2020,679
2/28/2020,667.99
3/2/2020,743.62
3/3/2020,745.51
3/4/2020,749.5
3/5/2020,724.54
3/6/2020,703.48
3/9/2020,608
3/10/2020,645.33
3/11/2020,634.23
3/12/2020,560.55
3/13/2020,546.62
3/16/2020,445.07
3/17/2020,430.2
3/18/2020,361.22
3/19/2020,427.64
3/20/2020,427.53
3/23/2020,434.29
3/24/2020,505
3/25/2020,539.25
3/26/2020,528.16
3/27/2020,514.36
3/30/2020,502.13
3/31/2020,524
4/1/2020,481.56
4/2/2020,454.47
4/3/2020,480.01
4/6/2020,516.24
4/7/2020,545.45
4/8/2020,548.84
4/9/2020,573
4/13/2020,650.95
4/14/2020,709.89
4/15/2020,729.83
4/16/2020,745.21
4/17/2020,753.89
4/20/2020,746.36
4/21/2020,686.72
4/22/2020,732.11
4/23/2020,705.63
4/24/2020,725.15
4/27/2020,798.75
4/28/2020,769.12
4/29/2020,800.51
4/30/2020,781.88
5/1/2020,701.32
5/4/2020,761.19
5/5/2020,768.21
5/6/2020,782.58
5/7/2020,780.04
5/8/2020,819.42
5/11/2020,811.29
5/12/2020,809.41
5/13/2020,790.96
5/14/2020,803.33
5/15/2020,799.17
5/18/2020,813.63
5/19/2020,808.01
5/20/2020,815.56
5/21/2020,827.6
5/22/2020,816.88
5/26/2020,818.87
5/27/2020,820.23
5/28/2020,805.81
5/29/2020,835
6/1/2020,898.1
6/2/2020,881.56
6/3/2020,882.96
6/4/2020,864.38
6/5/2020,885.66
6/8/2020,949.92
6/9/2020,940.67
6/10/2020,1025.05
6/11/2020,972.84
6/12/2020,935.28
6/15/2020,990.9
6/16/2020,982.13
6/17/2020,991.79